area,perimeter,compactness,mean,stddev,bbox,convex_area,eccentricity,centroid,equv_diam,euler_number,solidity,contrast,dissimilarity,homogeneity,energy,correlation,simple_entropy,class
195115,49190,0.252107731,12.37285664,54.79042673,2346624,1836218,0.518391233,"(849.6566127668298, 1132.5644312328627)",498.4256552,-110,0.10625917,381.7752741,1.497157937,0.994128883,0.949628481,0.936437476,0.194137193,0
258159,65310,0.252983626,16.37067522,62.50218536,2436496,1913674,0.262342303,"(861.8131771505158, 1267.2749003521085)",573.3221151,-75,0.134902287,526.0086784,2.062779131,0.991910794,0.933689548,0.932701046,0.238367476,0
207814,54072,0.260194212,11.83140298,53.63791256,2550120,1985657,0.434251568,"(845.4528665056253, 1304.9232631102814)",514.3899326,-130,0.104657552,394.0206685,1.545179092,0.993940567,0.951553924,0.931548047,0.187768546,0
225521,59470,0.263700498,12.83950952,55.76039745,2498985,1965266,0.509957652,"(889.0995783097804, 1336.3702049919964)",535.8565623,-143,0.114753423,434.6862738,1.704652054,0.993315193,0.947466749,0.930122797,0.1995475,0
208333,53823,0.258350813,11.86095103,53.70158613,2471886,1923009,0.432838596,"(845.9160910657457, 1380.7213019540832)",515.0318573,-105,0.108336986,368.633712,1.4456224,0.99433098,0.951646163,0.936110216,0.188118683,0
213883,51359,0.240126611,12.17692727,54.37682315,2543976,1916553,0.553797908,"(831.8246097165272, 1182.698840020011)",521.847002,-132,0.111597749,380.9495811,1.493919926,0.994141581,0.950367189,0.93560522,0.19184414,0
197632,43409,0.219645604,11.25171468,52.36970651,2490670,1964351,0.251879293,"(828.9244504938472, 1216.6870952072538)",501.6302201,-70,0.100609311,304.4401494,1.193882939,0.995318178,0.954439181,0.944518039,0.180837072,0
203749,47726,0.234239186,12.92036577,55.92635711,2467416,1898658,0.478866526,"(774.6612695031632, 1111.542358490103)",509.3341575,-142,0.107312112,390.2519793,1.530399919,0.993998524,0.947520864,0.937638698,0.200477747,0
236174,57059,0.241597297,13.44601311,56.9906841,2535816,1961053,0.426077784,"(900.884347980726, 1226.893485311677)",548.3667352,-117,0.120432237,412.9882687,1.619561838,0.993648875,0.945385938,0.93644617,0.206474876,0
248129,65010,0.262000814,14.12664301,58.33294031,2591979,2014757,0.293190188,"(877.091242861576, 1321.6070955027426)",562.0744212,-144,0.123155795,475.1485511,1.863327651,0.992692945,0.942363525,0.930206669,0.214114232,0
181079,44902,0.247969118,11.48278967,52.87964549,2202060,1753675,0.548870359,"(781.7871481508071, 1147.7610159101828)",480.163455,-100,0.103256875,344.4713002,1.350867844,0.994702561,0.953253207,0.938428746,0.183614451,0
248333,60331,0.24294395,14.13825727,58.35550776,2626008,2051292,0.419536966,"(874.4431026081915, 1383.3229534536288)",562.3054293,-145,0.12106175,444.9107688,1.744748113,0.993157956,0.942563753,0.934698753,0.21424339,0
258360,61704,0.23882954,14.70912101,59.45138869,2647129,2080841,0.276025052,"(881.3581785106054, 1286.4435903390618)",573.5452631,-25,0.124161337,443.6908007,1.739963924,0.993176717,0.940464112,0.937256448,0.220543555,0
256912,59031,0.229771284,16.29159903,62.3613787,2435148,1894864,0.437894853,"(835.0370165659837, 1118.555244597372)",571.9357638,-117,0.135583345,473.1101553,1.855333942,0.992724293,0.934407906,0.939195377,0.237535779,0
248456,54807,0.220590366,15.75537744,61.39535266,2337357,1851367,0.397993812,"(886.9207747045755, 1166.3891916476157)",562.4446678,-95,0.134201377,444.218179,1.742032075,0.993168607,0.936608019,0.941097917,0.231853184,0
248716,49516,0.199086508,14.16006248,58.39784724,2647129,2047014,0.41183939,"(887.2396830119494, 1392.0059787066373)",562.7388796,-59,0.121501856,338.8606796,1.32886541,0.994788843,0.943337474,0.950336219,0.214485772,0
188142,46981,0.249710325,10.71142377,51.15347948,2388018,1817927,0.5057503,"(845.8966897343496, 1356.6481434235843)",489.4382846,-109,0.103492604,327.6776381,1.285010346,0.994960821,0.956281449,0.937409818,0.174266444,0
235411,55774,0.236921809,14.9281529,59.86509201,2510640,1911047,0.44382621,"(843.039739009647, 1146.037296472977)",547.4802229,-127,0.123184307,462.1422046,1.812322371,0.992892963,0.939506318,0.935548504,0.222936172,0
167608,45985,0.274360412,18.89520202,66.79257336,1406595,1082050,0.37053133,"(634.7110161806119, 875.828146627846)",461.9579349,-66,0.154898572,676.0997564,2.651371594,0.989602624,0.923269105,0.924262986,0.264114578,0
179678,49909,0.27776912,20.25590729,68.95617868,1417270,1090977,0.286933383,"(613.2378477053395, 955.776544707755)",478.3023468,-47,0.164694581,715.2172442,2.804773507,0.989001057,0.918041109,0.924829606,0.277387102,0
244424,57017,0.233270874,13.91570752,57.92114037,2548000,1943673,0.530242586,"(883.6813815337283, 1414.246600170196)",557.8622612,-71,0.125753663,404.564679,1.586528153,0.993778417,0.943712232,0.939726578,0.211761557,0
241831,59837,0.247433125,15.33526532,60.62443645,2387448,1818124,0.561839141,"(856.8647857388011, 1342.1732532222916)",554.8952985,-97,0.13301128,489.3841352,1.919153471,0.992474024,0.937786879,0.933448254,0.227347878,0
202840,46454,0.229017945,11.54821995,53.02296392,2635722,2040052,0.401517531,"(854.7687241175311, 1387.6871425754289)",508.196723,-66,0.099428838,331.6570581,1.300615914,0.994899624,0.953111402,0.94103808,0.184397397,0
184602,46505,0.251920348,11.7061942,53.36707353,2383740,1793903,0.498643535,"(821.1574034950868, 1155.4864736026695)",484.8118877,-76,0.10290523,376.1133526,1.474954324,0.994215954,0.952164387,0.933995405,0.186281475,0
269395,65444,0.242929527,17.08318537,63.75246699,2415600,1926329,0.501522393,"(845.7119174446444, 1279.0346591436366)",585.665747,-89,0.139848904,549.9505177,2.156668697,0.991542606,0.930890553,0.932370528,0.245790079,0
263767,67607,0.256313337,15.01695588,60.03178147,2629190,2044341,0.402677215,"(870.6952954691072, 1275.4608840378062)",579.5158108,-165,0.129022996,509.2205189,1.996943212,0.992168971,0.938800351,0.929375345,0.223902396,0
218073,50789,0.232899075,12.4154751,54.8798882,2595305,1961717,0.456738943,"(886.3980180948581, 1251.8413879755863)",526.9337408,-131,0.111164352,360.3263098,1.413044352,0.994458735,0.949642158,0.940202843,0.194634277,0
239869,58293,0.243020148,15.21084872,60.39367935,2480400,1925650,0.569579155,"(830.0052653740166, 1217.8287356848946)",552.6397528,-61,0.124565212,475.6014007,1.865103532,0.992685981,0.938356153,0.9348274,0.226004465,0
204773,51031,0.249207659,12.98530083,56.05919795,2484932,1836896,0.443452376,"(799.6934654471048, 1221.9610690862564)",510.612457,-53,0.111477732,413.3202649,1.620863784,0.993643769,0.947094342,0.934265084,0.201223309,0
298850,77616,0.259715576,17.01432426,63.63305317,2642118,2073739,0.438161947,"(875.7094194411912, 1352.090155596453)",616.8530116,-144,0.144111675,577.2773141,2.263832604,0.991122362,0.930921374,0.928742042,0.245078247,0
130107,36682,0.281937175,14.667546,59.37244583,1339254,1008178,0.517832325,"(624.9601712436687, 865.6416103668519)",407.0102916,-18,0.129051616,530.5021657,2.08040065,0.991841692,0.939909828,0.924791563,0.22008788,0
226614,57372,0.25317059,12.90173691,55.88817494,2645502,1961074,0.37397073,"(830.7111740669155, 1270.764573239076)",537.153522,-141,0.115556068,417.9843288,1.63915423,0.993572043,0.947368876,0.933114574,0.200263609,0
272655,63688,0.233584567,15.52297333,60.97044775,2632396,2024908,0.264876918,"(877.3044983587317, 1279.3638590893254)",589.198717,-98,0.134650562,448.1349704,1.757392041,0.993108372,0.937431102,0.939746351,0.229366732,0
265974,64337,0.241892065,15.14260626,60.26662485,2601769,2036346,0.30599411,"(899.3501846045102, 1355.1956507027003)",581.9352324,-102,0.130613363,446.8569085,1.752380033,0.993128027,0.93884069,0.938506709,0.225265803,0
246197,61357,0.249219121,14.01664912,58.11866372,2643755,2052717,0.377953985,"(866.9733912273505, 1245.9213150444564)",559.8819127,-133,0.119937137,432.7982278,1.697247952,0.993344228,0.943111317,0.935957776,0.212889055,0
256333,60470,0.235904078,14.59371852,59.2319306,2572716,2031440,0.275483178,"(896.7886538213963, 1334.923365309968)",571.2909173,-88,0.126182905,422.5737328,1.657151893,0.993501465,0.941060332,0.939799054,0.219277497,0
249953,59959,0.239881098,14.23048817,58.53432916,2640589,2054173,0.273053584,"(879.994366940985, 1283.148483914976)",564.1365472,-76,0.121680598,444.9398157,1.744862022,0.993157509,0.942222303,0.935092885,0.215267657,0
197522,47953,0.242772957,11.24545209,52.35580282,2642140,2020082,0.462523811,"(862.9377588319276, 1325.5989105011088)",501.4905995,-50,0.097779199,353.1226883,1.384794856,0.994569515,0.954074341,0.935611823,0.18076153,0
208408,52868,0.253675483,13.21580763,56.52763372,2510628,1889361,0.430727218,"(825.1354650493263, 1194.5784230931633)",515.1245549,-41,0.110306077,429.6589525,1.684937069,0.993392505,0.946106211,0.932794378,0.203859114,0
